ID_PERSONA_PR,ANO_CONVO_INT,inst_a,inst_b
345687,2019,DEPARTAMENTO ADMINISTRATIVO DEL MEDIO AMBIENTE,UNIVERSIDAD DE LA AMAZONIA
346888,2019,UNIVERSIDAD COOPERATIVA DE COLOMBIA,UNIVERSIDAD SANTIAGO DE CALI
347078,2019,INSTITUTO NACIONAL DE SALUD,UNIVERSIDAD NACIONAL DE COLOMBIA
347345,2019,FAC DE EDUCACION FISICA,UNIVERSIDAD INDUSTRIAL DE SANTANDER
347507,2019,CONSEJO NACIONAL DE EDUCACION SUPERIOR,UNIVERSIDAD DE ANTIOQUIA
351644,2019,UNIVERSIDAD LIBRE DE COLOMBIA,UNIVERSIDAD SIMON BOLIVAR
373397,2019,UNIVERSIDAD DE LA GUAJIRA,UNIVERSIDAD DE SAN BUENAVENTURA
374520,2019,FUNDACION SANTA FE DE BOGOTA,UNIVERSIDAD DE LOS ANDES
382558,2019,UNIVERSIDAD CATOLICA DE MANIZALES,UNIVERSIDAD NACIONAL DE COLOMBIA
391522,2019,CORPOBIOTICA CORPORACION PARA EL DESARROLLO INVESTIGACION Y APLICACION,UNIVERSIDAD NACIONAL DE COLOMBIA
393860,2019,PONTIFICIA UNIVERSIDAD JAVERIANA,UNIVERSIDAD DEL TOLIMA
397814,2019,SERVICIO NACIONAL DE APRENDIZAJE SENA,UNIVERSIDAD NACIONAL DE COLOMBIA
409480,2019,FUNDACION REIKI MANOS DE LUZ,FUNDACION UNIVERITARIA JUAN N CORPAS
409898,2019,INSTITUTO NACIONAL DE SALUD,UNIVERSIDAD NACIONAL DE COLOMBIA
414603,2019,UNIVERSIDAD DEL VALLE,UNIVERSITAT BREMEN
415219,2019,UNIDADES TECNOLOGICAS DE SANTANDER,UNIVERSIDAD PONTIFICIA BOLIVARIANA
420999,2019,BAYLOR COLLEGE OF MEDICINE,UNIVERSIDAD CES
423106,2019,UNIVERSIDAD CATOLICA DE COLOMBIA,UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS
424056,2019,CONSERVATION INTERNATIONAL COLOMBIA,FUNDACION UNIVERSITARIA LOS LIBERTADORES
428094,2019,UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS,UNIVERSIDAD ECCI
428400,2019,INSTITUTO COLOMBIANO DE MEDICINA TROPICAL UNIVERSIDAD CES,UNIVERSIDAD DE ANTIOQUIA
432393,2019,SECRETARIA DE EDUCACION DISTRITAL COLEGIO SAN BERNARDINO IED,UNIVERSIDAD LIBRE DE COLOMBIA
432415,2019,UNIVERSIDAD DE LA GUAJIRA,UNIVERSIDAD POPULAR DEL CESAR
437891,2019,FUNDACION UNIVERSIDAD DEL NORTE,UNIVERSIDAD NACIONAL DE COLOMBIA
445193,2019,INTERNATIONAL RESEARCH INSTITUTE FOR CLIMATE AND SOCIETY COLUMBIA UNIV,UNIVERSIDAD EIA
447650,2019,FUNDACION FUTURO COLOMBIANO,UNIVERSIDAD POPULAR DEL CESAR
452025,2019,UNIVERSIDAD DE IBAGUE,UNIVERSIDAD EXTERNADO DE COLOMBIA
454303,2019,AMERICANA DE TRENZADOS,COLEGIO MAYOR NUESTRA SENORA DEL ROSARIO
455113,2019,FUNDACION UNIVERSIDAD DEL NORTE,UNIVERSIDAD DEL ATLANTICO
456993,2019,FUNDACION UNIVERSITARIA JUAN DE CASTELLANOS,UNIVERSIDAD SANTO TOMAS
458708,2019,ESCUELA SUPERIOR DE OFTALMOLOGIA DEL INSTITUTO BARRAQUER DE AMERICA,INSTITUCION UNIVERSITARIA COLEGIOS DE COLOMBIA UNICOC ANTES COLEGIO ODONTOLOGICO COLOMBIANO
463183,2019,ASOCIACION PANAMERICANA OTORRINOLARINGOLOGIA CABEZA Y CUELLO,SOCIEDAD COLOMBIANA DE OTORRINOLARINGOLOGIA
469840,2019,ESCUELA SUPERIOR DE ADMINISTRACION PUBLICA,UNIVERSIDAD DE CUNDINAMARCA
477893,2019,UNIVERSIDAD DE ANTIOQUIA,UNIVERSIDAD DE MEDELLIN
478750,2019,UNIVERSIDAD DE MANIZALES UMANIZALES,UNIVERSIDAD DE SAN BUENAVENTURA
479438,2019,UNIVERSIDAD DE LA SABANA,UNIVERSIDAD DE LA SALLE
484105,2019,CENTRO DE INVESTIGACION DOCENCIA Y CONSULTORIA ADMINISTRATIVA F CIDCA,UNIVERSIDAD TECNOLOGICA DE PEREIRA
495735,2019,CORPORACION UNIVERSIDAD DE LA COSTA,INSTITUCION UNIVERSITARIA ITSA
495751,2019,INSTITUTO NACIONAL DE MEDICINA LEGAL Y CIENCIAS FORENSES,UNIVERSIDAD DE ANTIOQUIA
501832,2019,FUNDACION CHELONIA COLOMBIA,UNIVERSIDAD LIBRE DE COLOMBIA
512737,2019,PROVINCIA SAN LUIS BERTRAN DE COLOMBIA,UNIVERSIDAD SANTO TOMAS
515825,2019,HAERENTIA,MUSEO NACIONAL DE COLOMBIA
517364,2019,UNIVERSIDAD DE LA SABANA,UNIVERSITY OF MISSOURI COLUMBIA USA
526762,2019,UNIVERSIDAD DE ANTIOQUIA,UNIVERSIDAD DE LOS ANDES
529281,2019,SERVICIO NACIONAL DE APRENDIZAJE SENA,SERVICIO NACIONAL DE APRENDIZAJE SENA CENTRO DE COMERCIO
532002,2019,CORPORACION UNIVERSITARIA REMINGTON,TECNOLOGICO DE ANTIOQUIA INSTITUCION UNIVERSITARIA
534471,2019,UNIVERSIDAD CATOLICA DE COLOMBIA,UNIVERSIDAD DE LA SABANA
535290,2019,CLADEA,PONTIFICIA UNIVERSIDAD JAVERIANA
541630,2019,PROGRAMA INGENIERIA CIVIL UNIVERSIDAD DE MEDELLIN,UNIVERSIDAD DE MEDELLIN
542520,2019,CENTRO DE BIOINFORMATICA Y BIOLOGIA COMPUTACIONAL DE COLOMBIA,UNIVERSIDAD DE ANTIOQUIA
545082,2019,FUNDACION SANTA FE DE BOGOTA,UNIVERSIDAD EL BOSQUE
563021,2019,UNIVERSIDAD DE LOS ANDES,UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS
563200,2019,CELBIT LTDA,UNIVERSIDAD NACIONAL DE COLOMBIA
566101,2019,FUNDACION UNIVERSITARIA DEL AREA ANDINA,UNIVERSIDAD CENTRAL
566942,2019,UNIVERSIDAD DE CORDOBA,UNIVERSIDAD DEL ATLANTICO
568716,2019,CLINICA UNIVERSITARIA TELETON,UNIVERSIDAD DE LA SABANA
571946,2019,UNIVERSIDAD CATOLICA DE PEREIRA,UNIVERSIDAD DE MANIZALES UMANIZALES
572624,2019,PROGRAMA DE ADMINISTRACION Y GESTION AMBIENTAL,UNIVERSIDAD MILITAR NUEVA GRANADA
576751,2019,FUNDACION VALLE DEL LILI,UNIVERSIDAD ICESI
580864,2019,INSTITUTO TECNICO DE ALTA TECNOLOGIA,UNIVERSIDAD DE LA SABANA
585130,2019,ASOCIACION DE MUNICIPIOS DELOS DEPARTAMENTOS DE CORDOBA Y SUCRE,UNIVERSIDAD DE CORDOBA
591904,2019,INSTITUTO NACIONAL DE SALUD PUBLICA,UNIVERSIDAD NACIONAL DE COLOMBIA
592773,2019,FUNDACION UNIVERSITARIA COMFAMILIAR RISARALDA,UNIVERSIDAD JORGE TADEO LOZANO
593966,2019,UNIVERSIDAD CENTRAL,UNIVERSIDAD NACIONAL DE COLOMBIA
